Column1;Content ID;ReactionType;Categorie;Contentype;Sentiment ;Score;Catégory Unique; Total Score ;Datetime;
95;356fff80-da4d-4785-9f43-bc1261031dc6;worried;technology;photo;negative;12;;0;03/04/2021;
96;356fff80-da4d-4785-9f43-bc1261031dc6;want;technology;photo;positive;70;;0;27/09/2020;
97;356fff80-da4d-4785-9f43-bc1261031dc6;heart;technology;photo;positive;60;;0;27/10/2020;
98;356fff80-da4d-4785-9f43-bc1261031dc6;scared;technology;photo;negative;15;;0;15/10/2020;
99;356fff80-da4d-4785-9f43-bc1261031dc6;heart;technology;photo;positive;60;;0;07/05/2021;
100;356fff80-da4d-4785-9f43-bc1261031dc6;hate;technology;photo;negative;5;;0;16/09/2020;
101;356fff80-da4d-4785-9f43-bc1261031dc6;indifferent;technology;photo;neutral;20;;0;29/10/2020;
103;01ab84dd-6364-4236-abbb-3f237db77180;scared;food;video;negative;15;;0;24/05/2021;
105;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;interested;cooking;GIF;positive;30;;0;25/02/2021;
106;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;hate;cooking;GIF;negative;5;;0;02/05/2021;
107;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;want;cooking;GIF;positive;70;;0;28/01/2021;
108;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;peeking;cooking;GIF;neutral;35;;0;15/02/2021;
109;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;dislike;cooking;GIF;negative;10;;0;04/11/2020;
110;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;love;cooking;GIF;positive;65;;0;23/06/2020;
111;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;cherish;cooking;GIF;positive;70;;0;16/02/2021;
112;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;interested;cooking;GIF;positive;30;;0;03/01/2021;
113;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;adore;cooking;GIF;positive;72;;0;25/11/2020;
114;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;like;cooking;GIF;positive;50;;0;03/12/2020;
115;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;like;cooking;GIF;positive;50;;0;22/05/2021;
116;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;cherish;cooking;GIF;positive;70;;0;18/01/2021;
117;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;indifferent;cooking;GIF;neutral;20;;0;06/01/2021;
118;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;adore;cooking;GIF;positive;72;;0;14/05/2021;
119;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;worried;cooking;GIF;negative;12;;0;27/05/2021;
120;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;peeking;cooking;GIF;neutral;35;;0;21/07/2020;
121;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;dislike;cooking;GIF;negative;10;;0;26/05/2021;
122;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;dislike;cooking;GIF;negative;10;;0;25/02/2021;
123;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;intrigued;cooking;GIF;positive;45;;0;07/12/2020;
124;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;indifferent;cooking;GIF;neutral;20;;0;24/10/2020;
125;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;peeking;cooking;GIF;neutral;35;;0;01/09/2020;
126;cf1e8c1a-23eb-4426-9f58-002fb1b53e91;adore;cooking;GIF;positive;72;;0;10/05/2021;
128;3f8590c7-6ab2-4973-805a-90cdec355f05;cherish;dogs;video;positive;70;;0;12/02/2021;
129;3f8590c7-6ab2-4973-805a-90cdec355f05;heart;dogs;video;positive;60;;0;28/04/2021;
130;3f8590c7-6ab2-4973-805a-90cdec355f05;intrigued;dogs;video;positive;45;;0;24/01/2021;
131;3f8590c7-6ab2-4973-805a-90cdec355f05;worried;dogs;video;negative;12;;0;18/03/2021;
132;3f8590c7-6ab2-4973-805a-90cdec355f05;disgust;dogs;video;negative;0;;0;14/01/2021;
133;3f8590c7-6ab2-4973-805a-90cdec355f05;heart;dogs;video;positive;60;;0;23/12/2020;
134;3f8590c7-6ab2-4973-805a-90cdec355f05;hate;dogs;video;negative;5;;0;21/05/2021;
135;3f8590c7-6ab2-4973-805a-90cdec355f05;like;dogs;video;positive;50;;0;28/03/2021;
136;3f8590c7-6ab2-4973-805a-90cdec355f05;peeking;dogs;video;neutral;35;;0;16/09/2020;
137;3f8590c7-6ab2-4973-805a-90cdec355f05;indifferent;dogs;video;neutral;20;;0;08/11/2020;
138;3f8590c7-6ab2-4973-805a-90cdec355f05;heart;dogs;video;positive;60;;0;06/03/2021;
139;3f8590c7-6ab2-4973-805a-90cdec355f05;disgust;dogs;video;negative;0;;0;13/01/2021;
140;3f8590c7-6ab2-4973-805a-90cdec355f05;want;dogs;video;positive;70;;0;06/09/2020;
141;3f8590c7-6ab2-4973-805a-90cdec355f05;interested;dogs;video;positive;30;;0;24/06/2020;
142;3f8590c7-6ab2-4973-805a-90cdec355f05;hate;dogs;video;negative;5;;0;07/02/2021;
143;3f8590c7-6ab2-4973-805a-90cdec355f05;intrigued;dogs;video;positive;45;;0;21/01/2021;
144;3f8590c7-6ab2-4973-805a-90cdec355f05;dislike;dogs;video;negative;10;;0;27/02/2021;
145;3f8590c7-6ab2-4973-805a-90cdec355f05;worried;dogs;video;negative;12;;0;22/08/2020;
146;3f8590c7-6ab2-4973-805a-90cdec355f05;cherish;dogs;video;positive;70;;0;03/08/2020;
147;3f8590c7-6ab2-4973-805a-90cdec355f05;scared;dogs;video;negative;15;;0;02/08/2020;
148;3f8590c7-6ab2-4973-805a-90cdec355f05;want;dogs;video;positive;70;;0;04/06/2021;
149;3f8590c7-6ab2-4973-805a-90cdec355f05;super love;dogs;video;positive;75;;0;21/10/2020;
150;3f8590c7-6ab2-4973-805a-90cdec355f05;dislike;dogs;video;negative;10;;0;26/12/2020;
151;3f8590c7-6ab2-4973-805a-90cdec355f05;scared;dogs;video;negative;15;;0;02/03/2021;
152;3f8590c7-6ab2-4973-805a-90cdec355f05;indifferent;dogs;video;neutral;20;;0;31/03/2021;
153;3f8590c7-6ab2-4973-805a-90cdec355f05;interested;dogs;video;positive;30;;0;14/06/2021;
154;3f8590c7-6ab2-4973-805a-90cdec355f05;scared;dogs;video;negative;15;;0;27/12/2020;
155;3f8590c7-6ab2-4973-805a-90cdec355f05;scared;dogs;video;negative;15;;0;11/02/2021;
156;3f8590c7-6ab2-4973-805a-90cdec355f05;interested;dogs;video;positive;30;;0;07/12/2020;
157;3f8590c7-6ab2-4973-805a-90cdec355f05;interested;dogs;video;positive;30;;0;28/12/2020;
158;3f8590c7-6ab2-4973-805a-90cdec355f05;interested;dogs;video;positive;30;;0;26/10/2020;
159;3f8590c7-6ab2-4973-805a-90cdec355f05;worried;dogs;video;negative;12;;0;26/09/2020;
160;3f8590c7-6ab2-4973-805a-90cdec355f05;scared;dogs;video;negative;15;;0;25/11/2020;
161;3f8590c7-6ab2-4973-805a-90cdec355f05;heart;dogs;video;positive;60;;0;11/07/2020;
162;3f8590c7-6ab2-4973-805a-90cdec355f05;heart;dogs;video;positive;60;;0;19/03/2021;
163;3f8590c7-6ab2-4973-805a-90cdec355f05;interested;dogs;video;positive;30;;0;11/10/2020;
164;3f8590c7-6ab2-4973-805a-90cdec355f05;heart;dogs;video;positive;60;;0;02/11/2020;
165;3f8590c7-6ab2-4973-805a-90cdec355f05;want;dogs;video;positive;70;;0;01/10/2020;
166;3f8590c7-6ab2-4973-805a-90cdec355f05;disgust;dogs;video;negative;0;;0;11/02/2021;
167;3f8590c7-6ab2-4973-805a-90cdec355f05;want;dogs;video;positive;70;;0;07/02/2021;
168;3f8590c7-6ab2-4973-805a-90cdec355f05;hate;dogs;video;negative;5;;0;17/10/2020;
169;3f8590c7-6ab2-4973-805a-90cdec355f05;like;dogs;video;positive;50;;0;09/08/2020;
170;3f8590c7-6ab2-4973-805a-90cdec355f05;love;dogs;video;positive;65;;0;01/02/2021;
171;3f8590c7-6ab2-4973-805a-90cdec355f05;adore;dogs;video;positive;72;;0;30/01/2021;
173;e5490118-90d5-4572-ab1c-1fbc87b8d9ca;want;technology;video;positive;70;;0;31/03/2021;
174;e5490118-90d5-4572-ab1c-1fbc87b8d9ca;super love;technology;video;positive;75;;0;05/02/2021;
175;e5490118-90d5-4572-ab1c-1fbc87b8d9ca;heart;technology;video;positive;60;;0;19/02/2021;
176;e5490118-90d5-4572-ab1c-1fbc87b8d9ca;worried;technology;video;negative;12;;0;25/07/2020;
178;0bedca96-fb76-4287-a83c-17330ed39cce;adore;soccer;photo;positive;72;;0;13/07/2020;
179;0bedca96-fb76-4287-a83c-17330ed39cce;indifferent;soccer;photo;neutral;20;;0;13/01/2021;
180;0bedca96-fb76-4287-a83c-17330ed39cce;worried;soccer;photo;negative;12;;0;02/01/2021;
181;0bedca96-fb76-4287-a83c-17330ed39cce;intrigued;soccer;photo;positive;45;;0;26/11/2020;
182;0bedca96-fb76-4287-a83c-17330ed39cce;want;soccer;photo;positive;70;;0;25/08/2020;
183;0bedca96-fb76-4287-a83c-17330ed39cce;hate;soccer;photo;negative;5;;0;01/02/2021;
184;0bedca96-fb76-4287-a83c-17330ed39cce;love;soccer;photo;positive;65;;0;04/06/2021;
185;0bedca96-fb76-4287-a83c-17330ed39cce;adore;soccer;photo;positive;72;;0;19/08/2020;
186;0bedca96-fb76-4287-a83c-17330ed39cce;cherish;soccer;photo;positive;70;;0;22/04/2021;
187;0bedca96-fb76-4287-a83c-17330ed39cce;super love;soccer;photo;positive;75;;0;26/06/2020;
188;0bedca96-fb76-4287-a83c-17330ed39cce;like;soccer;photo;positive;50;;0;15/08/2020;
189;0bedca96-fb76-4287-a83c-17330ed39cce;love;soccer;photo;positive;65;;0;26/11/2020;
191;b18cb63f-4c8e-44ee-a47f-541e95191d11;want;public speaking;photo;positive;70;;0;14/04/2021;
192;b18cb63f-4c8e-44ee-a47f-541e95191d11;indifferent;public speaking;photo;neutral;20;;0;21/07/2020;
193;b18cb63f-4c8e-44ee-a47f-541e95191d11;dislike;public speaking;photo;negative;10;;0;29/03/2021;
194;b18cb63f-4c8e-44ee-a47f-541e95191d11;want;public speaking;photo;positive;70;;0;20/05/2021;
195;b18cb63f-4c8e-44ee-a47f-541e95191d11;like;public speaking;photo;positive;50;;0;02/11/2020;
196;b18cb63f-4c8e-44ee-a47f-541e95191d11;indifferent;public speaking;photo;neutral;20;;0;24/10/2020;
197;b18cb63f-4c8e-44ee-a47f-541e95191d11;heart;public speaking;photo;positive;60;;0;07/09/2020;
198;b18cb63f-4c8e-44ee-a47f-541e95191d11;scared;public speaking;photo;negative;15;;0;04/03/2021;
199;b18cb63f-4c8e-44ee-a47f-541e95191d11;adore;public speaking;photo;positive;72;;0;07/01/2021;
200;b18cb63f-4c8e-44ee-a47f-541e95191d11;peeking;public speaking;photo;neutral;35;;0;06/07/2020;
201;b18cb63f-4c8e-44ee-a47f-541e95191d11;like;public speaking;photo;positive;50;;0;27/03/2021;
202;b18cb63f-4c8e-44ee-a47f-541e95191d11;intrigued;public speaking;photo;positive;45;;0;21/11/2020;
203;b18cb63f-4c8e-44ee-a47f-541e95191d11;cherish;public speaking;photo;positive;70;;0;22/08/2020;
204;b18cb63f-4c8e-44ee-a47f-541e95191d11;peeking;public speaking;photo;neutral;35;;0;14/06/2021;
205;b18cb63f-4c8e-44ee-a47f-541e95191d11;worried;public speaking;photo;negative;12;;0;15/07/2020;
206;b18cb63f-4c8e-44ee-a47f-541e95191d11;intrigued;public speaking;photo;positive;45;;0;21/03/2021;
207;b18cb63f-4c8e-44ee-a47f-541e95191d11;super love;public speaking;photo;positive;75;;0;07/04/2021;
208;b18cb63f-4c8e-44ee-a47f-541e95191d11;cherish;public speaking;photo;positive;70;;0;24/04/2021;
209;b18cb63f-4c8e-44ee-a47f-541e95191d11;heart;public speaking;photo;positive;60;;0;30/09/2020;
210;b18cb63f-4c8e-44ee-a47f-541e95191d11;heart;public speaking;photo;positive;60;;0;19/07/2020;
211;b18cb63f-4c8e-44ee-a47f-541e95191d11;scared;public speaking;photo;negative;15;;0;21/01/2021;
212;b18cb63f-4c8e-44ee-a47f-541e95191d11;scared;public speaking;photo;negative;15;;0;31/01/2021;
213;b18cb63f-4c8e-44ee-a47f-541e95191d11;hate;public speaking;photo;negative;5;;0;24/12/2020;
214;b18cb63f-4c8e-44ee-a47f-541e95191d11;disgust;public speaking;photo;negative;0;;0;27/05/2021;
215;b18cb63f-4c8e-44ee-a47f-541e95191d11;disgust;public speaking;photo;negative;0;;0;13/02/2021;
216;b18cb63f-4c8e-44ee-a47f-541e95191d11;adore;public speaking;photo;positive;72;;0;14/07/2020;
217;b18cb63f-4c8e-44ee-a47f-541e95191d11;dislike;public speaking;photo;negative;10;;0;15/07/2020;
218;b18cb63f-4c8e-44ee-a47f-541e95191d11;like;public speaking;photo;positive;50;;0;08/10/2020;
219;b18cb63f-4c8e-44ee-a47f-541e95191d11;heart;public speaking;photo;positive;60;;0;12/11/2020;
220;b18cb63f-4c8e-44ee-a47f-541e95191d11;want;public speaking;photo;positive;70;;0;21/02/2021;
221;b18cb63f-4c8e-44ee-a47f-541e95191d11;intrigued;public speaking;photo;positive;45;;0;09/07/2020;
222;b18cb63f-4c8e-44ee-a47f-541e95191d11;adore;public speaking;photo;positive;72;;0;26/06/2020;
223;b18cb63f-4c8e-44ee-a47f-541e95191d11;worried;public speaking;photo;negative;12;;0;20/11/2020;
224;b18cb63f-4c8e-44ee-a47f-541e95191d11;like;public speaking;photo;positive;50;;0;29/05/2021;
225;b18cb63f-4c8e-44ee-a47f-541e95191d11;indifferent;public speaking;photo;neutral;20;;0;22/02/2021;
226;b18cb63f-4c8e-44ee-a47f-541e95191d11;scared;public speaking;photo;negative;15;;0;07/01/2021;
227;b18cb63f-4c8e-44ee-a47f-541e95191d11;adore;public speaking;photo;positive;72;;0;01/10/2020;
228;b18cb63f-4c8e-44ee-a47f-541e95191d11;hate;public speaking;photo;negative;5;;0;21/11/2020;
229;b18cb63f-4c8e-44ee-a47f-541e95191d11;scared;public speaking;photo;negative;15;;0;15/04/2021;
230;b18cb63f-4c8e-44ee-a47f-541e95191d11;love;public speaking;photo;positive;65;;0;30/06/2020;
231;b18cb63f-4c8e-44ee-a47f-541e95191d11;want;public speaking;photo;positive;70;;0;01/12/2020;
232;b18cb63f-4c8e-44ee-a47f-541e95191d11;scared;public speaking;photo;negative;15;;0;07/11/2020;
234;5118e9c5-1377-4cc5-a486-65b35b7b7b76;super love;science;GIF;positive;75;;0;30/06/2020;
235;5118e9c5-1377-4cc5-a486-65b35b7b7b76;heart;science;GIF;positive;60;;0;04/08/2020;
236;5118e9c5-1377-4cc5-a486-65b35b7b7b76;intrigued;science;GIF;positive;45;;0;28/07/2020;
237;5118e9c5-1377-4cc5-a486-65b35b7b7b76;super love;science;GIF;positive;75;;0;25/10/2020;
238;5118e9c5-1377-4cc5-a486-65b35b7b7b76;worried;science;GIF;negative;12;;0;05/07/2020;
239;5118e9c5-1377-4cc5-a486-65b35b7b7b76;cherish;science;GIF;positive;70;;0;28/04/2021;
240;5118e9c5-1377-4cc5-a486-65b35b7b7b76;indifferent;science;GIF;neutral;20;;0;31/01/2021;
241;5118e9c5-1377-4cc5-a486-65b35b7b7b76;adore;science;GIF;positive;72;;0;29/08/2020;
242;5118e9c5-1377-4cc5-a486-65b35b7b7b76;intrigued;science;GIF;positive;45;;0;15/10/2020;
243;5118e9c5-1377-4cc5-a486-65b35b7b7b76;love;science;GIF;positive;65;;0;02/08/2020;
244;5118e9c5-1377-4cc5-a486-65b35b7b7b76;scared;science;GIF;negative;15;;0;31/10/2020;
245;5118e9c5-1377-4cc5-a486-65b35b7b7b76;heart;science;GIF;positive;60;;0;12/10/2020;
246;5118e9c5-1377-4cc5-a486-65b35b7b7b76;want;science;GIF;positive;70;;0;12/12/2020;
247;5118e9c5-1377-4cc5-a486-65b35b7b7b76;like;science;GIF;positive;50;;0;09/01/2021;
248;5118e9c5-1377-4cc5-a486-65b35b7b7b76;hate;science;GIF;negative;5;;0;23/08/2020;
249;5118e9c5-1377-4cc5-a486-65b35b7b7b76;love;science;GIF;positive;65;;0;22/12/2020;
250;5118e9c5-1377-4cc5-a486-65b35b7b7b76;disgust;science;GIF;negative;0;;0;07/11/2020;
251;5118e9c5-1377-4cc5-a486-65b35b7b7b76;adore;science;GIF;positive;72;;0;17/04/2021;
252;5118e9c5-1377-4cc5-a486-65b35b7b7b76;scared;science;GIF;negative;15;;0;21/04/2021;
253;5118e9c5-1377-4cc5-a486-65b35b7b7b76;intrigued;science;GIF;positive;45;;0;19/07/2020;
254;5118e9c5-1377-4cc5-a486-65b35b7b7b76;intrigued;science;GIF;positive;45;;0;06/07/2020;
255;5118e9c5-1377-4cc5-a486-65b35b7b7b76;love;science;GIF;positive;65;;0;26/03/2021;
258;0be59876-d70c-486c-8e0b-a06bef7a2cd6;cherish;tennis;GIF;positive;70;;0;13/09/2020;
259;0be59876-d70c-486c-8e0b-a06bef7a2cd6;worried;tennis;GIF;negative;12;;0;28/01/2021;
260;0be59876-d70c-486c-8e0b-a06bef7a2cd6;indifferent;tennis;GIF;neutral;20;;0;20/01/2021;
261;0be59876-d70c-486c-8e0b-a06bef7a2cd6;super love;tennis;GIF;positive;75;;0;03/09/2020;
